"Country","Q57","Q58","Q59","Q60","Q61","Q62","Q63","Q64","Q65","Q66","Q67","Q68","Q69","Q70","Q71","Q72","Q73","Q74","Q75","Q76","Q77","Q78","Q79","Q80","Q81","Q82","Q83","Q84","Q85","Q86","Q87","Q88","Q89","GDP","Life_expectancy","Education","Urbanicity","Freedom_Score","Deaths_million","Vaccination_rate","Excess_per_million"
"India",1.17685851318945,3.83264340626848,3.04376108811354,3.03743315508021,2.1114439784302,2.56298975286317,2.16537467700258,3.55614973262032,3.4798071127185,2.79130434782609,2.74923171481254,2.81218993621545,2.88280785246877,3.06558363417569,2.78769601930036,2.29877300613497,3.00774193548387,3.12150127226463,3.39403553299492,2.90621193666261,2.6136210384356,3.37945619335347,3.06067094932191,3.01909476661952,2.98694706308919,2.36273058994419,2.45675482487491,2.25776397515528,2.44214328330272,2.25420168067227,2.87905604719764,3.05920444033303,2.41428571428571,2.0501638002619,70.91,"6.28138","34.472",75,374.482815587422,74,3341.8218039632
"Iran",1.14839572192513,3.83255503669113,2.88747488278634,3.03475935828877,1.98529411764706,2.59457579972184,2.0068073519401,3.04896042924212,3.5979797979798,2.55040322580645,2.99866131191432,2.49081920903955,3.27710843373494,3.01612903225806,2.4150436534587,2.29739010989011,2.64533696392103,2.79906229068989,2.98986486486487,2.83534136546185,2.43228454172367,2.49899531145345,2.95997286295794,2.84023668639053,3.03957075788062,2.5358807082945,2.29752066115703,2.01100917431193,2.12408759124088,1.61612620508326,2.02122241086587,2.8374040474529,2.02464788732394,3.27675326508099,76.103,"10.636453","75.391",18,1633.95899089074,78,2621.70387400502
"Iraq",1.11243611584327,3.92743953294412,3.11809045226131,3.14632107023411,1.91993185689949,2.30553116769096,1.97158081705151,2.71380186282811,2.99748322147651,2.32434782608696,2.40307429547395,2.13623725671918,2.65057067603161,2.33132530120482,1.72562553925798,1.44512195121951,1.48073555166375,2.08325952170062,2.16606822262118,1.57815275310835,1.86842105263158,1.90104662226451,2.04748338081671,2.19500924214418,2.42727272727273,1.86457311089303,1.88468992248062,1.92410256410256,1.95966907962771,1.8645948945616,1.98130841121495,2.31102362204724,2.11238293444329,5.62118169491752,71.576,"6.7498746","70.678",32,570.229468536606,28,1499.78482167746
"Jordan",1.15969899665552,3.87863674147963,2.98743718592965,3.05490848585691,2.03002502085071,2.42393162393162,2.29401709401709,2.94354148845167,3.7228714524207,2.18804159445407,2.35536480686695,2.47668393782383,3.6418410041841,3.24550898203593,2.18963831867058,1.42082429501085,1.43097345132743,2.26483613817538,2.15377532228361,1.64864864864865,2.07700101317123,2.2625,2.37201365187713,2.4620320855615,2.51445663010967,1.7936694021102,1.62240184757506,1.6183879093199,1.92905866302865,2.25420168067227,1.75773889636608,2.33635187580854,2.41428571428571,4.1596537537759,76.044,"10.398789","91.203",37,1251.29930180831,47,1056.97557238919
"Japan",1.3559718969555,3.69865067466267,2.64621513944223,2.97937356760886,1.86745886654479,1.94915254237288,2.1025641025641,1.65333333333333,3.11581469648562,2.72789634146341,2.67963386727689,2.45192307692308,2.96623177283193,3.03814935064935,2.35880933226066,2.17671691792295,2.23781998348472,2.43403908794788,2.68541300527241,2.41728395061728,2.53031596925705,2.75039872408294,2.50225428313796,2.4019512195122,2.30488974113135,2.42335766423358,2.59485530546624,2.25776397515528,2.44214328330272,2.25420168067227,2.33026069710019,2.80684326710817,2.41428571428571,40.4159567649547,84.3563414634146,"12.655297","91.698",96,459.708332122211,83,-155.6099136235
"Kazakhstan",1.23891625615764,3.85098039215686,2.81136543014996,2.81329113924051,1.83863275039746,2.26174496644295,2.36195286195286,3.19013524264121,3.16786570743405,2.69420174741859,2.76868044515103,2.62438625204583,2.78888888888889,2.76935355147646,2.88541666666667,2.68145161290323,2.81935483870968,2.81549520766773,2.81259968102073,2.7216,2.58211382113821,2.62852538275584,2.70746018440905,2.81786941580756,2.78607809847199,2.82627865961199,2.7481884057971,2.66112650046168,2.70779220779221,2.58900279589935,2.65285451197053,2.72958257713249,2.65373961218837,9.81259552626324,73.18,"12.3212185","57.54",22,971.207175303277,66,3884.1470865986
"Kenya",1.09584664536741,3.75257731958763,2.70667726550079,2.83691328560064,1.91207034372502,2.38870967741935,2.1248992747784,3.35453100158982,2.72235481304694,2.81410256410256,2.97366320830008,2.39820114472608,2.22115384615385,2.5484387510008,2.43086816720257,1.92921074043938,2.24394184168013,2.49274193548387,2.94122383252818,2.06957928802589,2.55410903173312,3.14686998394864,2.80517380759903,2.78542178542179,2.93301049233253,2.79717373233583,2.92365145228216,2.88898836168308,2.78983050847458,2.57841140529532,3.10790144435004,3.17647058823529,2.85143918291551,1.97008007048615,62.943,"7.99466","27.507",48,105.279743994015,27,228.604315910301
"Kyrgyzstan",1.11848739495798,3.8673894912427,3.06192468619247,2.90771812080537,1.89433643279797,2.07764505119454,2.30187074829932,3.10799319727891,2.88255319148936,2.41059027777778,2.61214165261383,2.48067860508954,2.42989864864865,2.24273504273504,2.47918436703483,2.12683347713546,2.1793991416309,2.58843537414966,2.68852459016393,2.13947590870668,2.46234676007005,2.94893617021277,2.68225948808473,2.84526967285588,2.79565217391304,2.75988700564972,2.71194605009634,2.73458725182863,2.56666666666667,2.30188679245283,2.85549738219895,2.89928789420142,2.73212379935966,1.45151563835807,71.6,"11.858482","36.591",38,428.823352306126,23,1765.32932587188
"South Korea",1.32931726907631,3.79518072289157,2.90281124497992,2.92128514056225,1.96224899598394,2.11726907630522,1.97429718875502,2.55261044176707,2.53333333333333,2.4570281124498,2.56626506024096,2.40160642570281,2.57349397590361,2.62329317269076,2.47710843373494,2.09638554216868,1.95983935742972,2.55983935742972,2.67550200803213,2.66907630522088,2.39598393574297,2.75502008032129,2.68032128514056,2.63293172690763,2.63293172690763,2.61606425702811,2.79759036144578,2.73333333333333,2.69156626506024,2.67550200803213,2.71566265060241,2.84176706827309,2.77269076305221,31.9024169048194,83.2268292682927,"12.51293","81.43",83,625.085745428213,88,121.794429428944
"Lebanon",1.09916666666667,3.80833333333333,2.70426065162907,2.65133779264214,1.8881469115192,2.29471032745592,2.10729253981559,2.46231155778894,3.48623853211009,2.02192242833052,2.11428571428571,1.92924126172208,2.6625,2.27455919395466,1.90924369747899,1.75966386554622,1.82085786375105,1.77014418999152,2.28547008547009,1.81663837011885,1.9161624891962,2.05200341005968,1.98969072164948,2.09412780656304,2.10553191489362,1.68185726569218,1.81637931034483,1.71992818671454,1.65737410071942,1.58730158730159,1.76502242152466,1.82789855072464,1.68421052631579,8.92542186017072,79.236,"8.584109","88.758",45,1957.4701092347,40,3373.5842217663
